organization_id,organization_name,organization_type,partner_country,website_url,contact_url,email_status,lead_readiness,fetch_status,notes,source_project_urls,score
org_regione_autonoma_della_sardegna_italy_re_acb2faa2,Regione Autonoma della Sardegna,Regional public authority,Italy,http://www.regione.sardegna.it,http://www.regione.sardegna.it,email_not_found_no_contact_channel,not_outreach_ready,ok,page_fetched but no email found,https://keep.eu/projects/32759/ | https://keep.eu/projects/29244/,4.5
org_agencia_estatal_consejo_superior_de_inve_335d04e0,Agencia Estatal Consejo Superior de Investigaciones Científicas - Instituto Español de Oceanografia,National public authority,Spain,http://www.csic.es,http://www.csic.es,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/31595/,4.5
org_greece_afs_edu_gr_726dbc54,Αμερικάνικη Γεωργική Σχολή,Higher education and research organisations,Greece,http://www.afs.edu.gr,http://www.afs.edu.gr,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/31594/,4.5
org_ayuntamiento_de_matar_spain_mataro_cat_b05a1129,Ayuntamiento de Mataró,Local public authority,Spain,https://mataro.cat,https://mataro.cat/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/31586/,4.5
org_porto_conte_ricerche_srl_italy_portocont_d36c3922,Porto Conte Ricerche srl,Other,Italy,https://www.portocontericerche.it,https://www.portocontericerche.it/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/32769/,4.45
org_fundaci_n_musol_spain_musol_org_c9ec2029,Fundación MUSOL,Interest groups including NGOs,Spain,http://www.musol.org,http://www.musol.org,email_not_found_no_contact_channel,not_outreach_ready,ok,page_fetched but no email found,https://keep.eu/projects/32769/ | https://keep.eu/projects/31592/ | https://keep.eu/projects/29236/ | https://keep.eu/projects/29234/,4.45
org_eurovertice_s_l_spain_055da782,Eurovertice S.L.,SME,Spain,,https://keep.eu/projects/32760/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=keep_eu_html_project_32760,https://keep.eu/projects/32760/,4.45
org_fondazione_slow_food_ets_italy_slowfood_f024d536,Fondazione Slow Food ETS,Interest groups including NGOs,Italy,https://www.slowfood.com,https://www.slowfood.com,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/31594/,4.45
org_otb_europe_portugal_otbeurope_com_71dc7883,OTB Europe,SME,Portugal,https://otbeurope.com,https://otbeurope.com/,email_not_found_no_contact_channel,not_outreach_ready,ok,page_fetched but no email found,https://keep.eu/projects/31590/,4.45
org_greece_en_uoa_gr_b837f2da,Εθνικό Καποδιστριακό Πανεπιστήμιο Αθηνών,Local public authority,Greece,https://en.uoa.gr,https://en.uoa.gr/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/32760/,4.4
org_association_of_the_mediterranean_chamber_254ac171,Association of the Mediterranean Chambers of Commerce and Industry,Chamber of Commerce,Spain,http://www.ascame.org,http://www.ascame.org,email_not_found_manual_review,manual_review_needed,url_error,url_error,https://keep.eu/projects/31598/ | https://keep.eu/projects/33218/ | https://keep.eu/projects/27710/,5.0
org_agence_du_tourisme_de_la_corse_france_vi_eacf1483,Agence du Tourisme de la Corse,Regional public authority,France,https://www.visit-corsica.com,https://www.visit-corsica.com/,email_not_found_no_contact_channel,not_outreach_ready,ok,page_fetched but no email found,https://keep.eu/projects/31597/ | https://keep.eu/projects/31594/,4.4
org_greece_crete_gov_gr_9e12461d,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,Regional public authority,Greece,http://www.crete.gov.gr,http://www.crete.gov.gr,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/31597/,4.4
